Run_Number,Max_Hist_Exam_Q_len,Max_Scr_Proc_Q_len,Max_Scr_Rep_Q_len,Max_Colpo_Q_len,Max_Biop_Proc_Q_Len,Max_Biop_Rep_Q_Len,Max_T/t_Q_len,Gynae_Res_%_util,Gynae_consul_%_util,Path_%_util,Cytotec_%_util,Hist_Exam_Wait_Time,Screening_Wait_Time,Colpo_Wait_Time,Time_to_screening_results,Time_to_colposcopy,Time_to_treatment,Total_time_in_system
1,44321.0,3263.0,29.0,0.0,0.0,0.0,0.0,0.0001425547110630168,0.0,0.0004966433807891747,0.000468034195057607,0.0,0.0,0.0,-67326.9974200199,nan,nan,-67326.9974200199
2,44023.0,3404.0,31.0,0.0,0.0,0.0,0.0,0.00013301955125075577,0.0,0.0005242257863814428,0.000430720843954924,0.0,0.0,0.0,-67104.68286025173,nan,nan,-67104.68286025173
3,43977.0,3556.0,30.0,0.0,0.0,0.0,0.0,0.00019455155655465666,0.0,0.0006903102169058207,0.0006703883731968034,0.0,0.0,0.0,-61409.32500677599,nan,nan,-61409.32500677599
4,44991.0,3415.0,30.0,0.0,0.0,0.0,0.0,0.00012668492929529882,0.0,0.0005595482905738983,0.0004376608676176511,0.0,0.0,0.0,-64435.39047551849,nan,nan,-64435.39047551849
5,44780.0,2812.0,27.0,0.0,0.0,0.0,0.0,0.00012987576254149067,0.0,0.0004719685278164214,0.00046148850691504957,0.0,0.0,0.0,-67799.05753915531,nan,nan,-67799.05753915531
6,44338.0,3378.0,30.0,0.0,0.0,0.0,0.0,0.00015217139522141342,0.0,0.0005550157622166615,0.0004820025272444203,0.0,0.0,0.0,-65043.24075055731,nan,nan,-65043.24075055731
7,44608.0,3075.0,30.0,0.0,0.0,0.0,0.0,0.00011104793541880915,0.0,0.00045350704337781866,0.00034039077382678253,0.0,0.0,0.0,-67280.64236543761,nan,nan,-67280.64236543761
8,44703.0,2616.0,28.0,0.0,0.0,0.0,0.0,0.00011203647367418842,0.0,0.00035725242442175063,0.0003539206312936668,0.0,0.0,0.0,-63909.04481004468,nan,nan,-63909.04481004468
9,44974.0,2090.0,28.0,0.0,0.0,0.0,0.0,0.00013205457682259427,0.0,0.0004608312919339169,0.00041468319280242404,0.0,0.0,0.0,-62526.533044123564,nan,nan,-62526.533044123564
10,44787.0,3087.0,29.0,12.0,245.0,32.0,104.0,0.00012762312102244624,4.38261383535935e-05,0.0005602721914553838,0.0004710890532337862,0.0,0.0,0.0,-62982.37660290791,332.960337918873,2655.4901608919254,-62982.37660290791
